District,Location,Area,Bedrooms,Price
Kottayam,Pala,2088,5,8397938
Wayanad,Rural Area,3801,2,10965827
Pathanamthitta,Rural Area,1103,5,5365350
Kozhikode,Mavoor Road,2855,3,11627320
Malappuram,Near Highway,767,2,2352184
Trivandrum,Kazhakkoottam,2276,3,10379683
Kollam,Suburbs,4045,5,11684615
Idukki,Rural Area,1543,6,6536651
Kozhikode,Nadakkavu,2920,1,12345154
Alappuzha,Rural Area,3478,2,11549275
Wayanad,Town Center,4989,6,15638062
Ernakulam,Kakkanad,1506,6,9186106
Thrissur,Viyyur,1198,5,5397948
Pathanamthitta,Residential Area,3243,5,11907815
Kasargod,Near Highway,2603,1,6715906
Palakkad,Near Highway,4347,5,15636851
Kannur,Near Highway,1796,3,5876785
Kasargod,Suburbs,3805,2,12017003
Thrissur,Viyyur,2596,2,11531389
Ernakulam,Kakkanad,3029,4,17179393
Kasargod,Town Center,1452,1,3836312
Palakkad,Suburbs,1575,5,5980163
Alappuzha,Suburbs,3367,1,11399222
Wayanad,Town Center,4106,1,10859263
Kozhikode,Mavoor Road,1417,5,7717514
Kozhikode,Beach Road,4951,1,21643849
Ernakulam,Kochi,3164,2,17252876
Kozhikode,Beach Road,788,3,3783586
Malappuram,Near Highway,1362,4,4481775
Alappuzha,Town Center,1464,4,5633524
Idukki,Near Highway,4070,4,14522828
Ernakulam,Aluva,1059,4,7160045
Kottayam,Nagampadam,832,2,3406276
Idukki,Near Highway,824,1,2153492
Palakkad,Near Highway,1828,2,6819723
Kottayam,Baker Junction,1974,1,6980844
Palakkad,Near Highway,2780,2,8223619
Kollam,Rural Area,1018,2,3855050
Kannur,Residential Area,3643,2,12544116
Kasargod,Near Highway,4255,6,15765038
Idukki,Town Center,1068,1,3510123
Palakkad,Suburbs,3494,6,13494865
Idukki,Suburbs,3566,3,12932977
Alappuzha,Suburbs,3487,3,12470306
Kannur,Rural Area,3013,5,10991742
Kollam,Rural Area,2001,3,7012053
Trivandrum,Vellayambalam,2908,5,15034401
Trivandrum,Technopark,3373,2,17048462
Kannur,Suburbs,2929,6,10351944
Alappuzha,Suburbs,4077,5,11530600
Kannur,Town Center,4954,5,18843649
Kasargod,Town Center,2696,2,9731572
Kasargod,Near Highway,2880,6,11508612
Kollam,Suburbs,2644,2,7827201
Palakkad,Suburbs,4920,3,16916778
Malappuram,Near Highway,1078,6,5544012
Kollam,Town Center,2545,4,8965566
Kannur,Suburbs,4219,3,14908080
Kannur,Suburbs,4906,3,16083076
Kannur,Town Center,3640,1,11237078
Kollam,Town Center,3112,6,11564450
Kannur,Rural Area,4311,1,14788665
Kasargod,Suburbs,4459,4,15417827
Kannur,Town Center,4078,4,13156543
Kannur,Rural Area,2383,3,7818922
Kasargod,Town Center,1527,3,5431897
Trivandrum,Technopark,1932,6,9494889
Kannur,Residential Area,4099,6,14217311
Pathanamthitta,Near Highway,1606,1,4648760
Kozhikode,Nadakkavu,4189,5,18794227
Malappuram,Town Center,3011,2,8462371
Palakkad,Rural Area,1455,1,4226637
Idukki,Town Center,4464,1,15259696
Pathanamthitta,Town Center,1750,3,6706803
Kasargod,Residential Area,3477,6,12288515
Kannur,Town Center,3880,2,13582423
Thrissur,Swaraj Round,4644,2,16331954
Kollam,Rural Area,4732,4,15944506
Alappuzha,Near Highway,2638,1,6807053
Trivandrum,Pattom,3793,4,17515136
Idukki,Town Center,1237,1,3347294
Kasargod,Residential Area,3469,1,9506268
Thrissur,Swaraj Round,1100,1,4323979
Thrissur,Poonkunnam,2824,4,12953536
Kannur,Rural Area,2959,5,10370205
Kottayam,Nagampadam,1736,1,5576629
Ernakulam,Kochi,3957,5,20409181
Kasargod,Near Highway,4189,5,12264183
Kasargod,Suburbs,2080,3,6718413
Wayanad,Residential Area,4286,2,13087405
Palakkad,Suburbs,4379,3,13063851
Kannur,Town Center,3358,6,12181097
Trivandrum,Pattom,1626,3,7819789
Alappuzha,Residential Area,1143,3,4628876
Pathanamthitta,Suburbs,3254,2,9278062
Trivandrum,Vellayambalam,4946,4,22888181
Thrissur,Olarikkara,1569,4,7101165
Thrissur,Ayyanthole,673,3,3237638
Wayanad,Near Highway,1841,5,7585244
Ernakulam,Kakkanad,4292,2,21266261
Thrissur,Olarikkara,1598,4,7350006
Wayanad,Residential Area,1674,3,6367879
Wayanad,Near Highway,1342,5,5983313
Alappuzha,Suburbs,4994,4,17742013
Kannur,Suburbs,2573,2,8223126
Malappuram,Rural Area,2353,6,9870780
Kottayam,Baker Junction,2346,4,9071274
Thrissur,Viyyur,1324,2,5353789
Palakkad,Near Highway,1592,6,5668799
Kannur,Rural Area,2487,4,9265093
Kannur,Residential Area,590,4,3483719
Kottayam,Baker Junction,3480,1,12953069
Wayanad,Residential Area,4754,5,17578307
Ernakulam,Kochi,2083,3,10559317
Alappuzha,Near Highway,4791,5,17297430
Kasargod,Residential Area,2299,1,6473597
Alappuzha,Residential Area,2145,4,6540445
Alappuzha,Town Center,3020,4,10122451
Kannur,Rural Area,2637,1,7919189
Kozhikode,Nadakkavu,3993,2,15571066
Kozhikode,West Hill,4289,1,16623995
Alappuzha,Near Highway,1876,4,6474293
Kottayam,Kanjikuzhy,4541,3,17703530
Alappuzha,Near Highway,1800,3,6617948
Malappuram,Near Highway,4128,4,14324464
Pathanamthitta,Suburbs,2685,3,8966751
Ernakulam,Kochi,793,4,4225951
Idukki,Town Center,4660,1,12943975
Malappuram,Suburbs,3504,6,10748853
Kottayam,Kanjikuzhy,2734,1,8207225
Idukki,Residential Area,2595,6,9447677
Idukki,Near Highway,1722,3,5818075
Kollam,Residential Area,3399,6,12843743
Kasargod,Suburbs,2711,6,9476834
Ernakulam,Palarivattom,4903,5,26843505
Wayanad,Suburbs,4295,6,15882199
Wayanad,Town Center,1730,3,6164036
Kozhikode,Nadakkavu,2963,2,11944216
Pathanamthitta,Rural Area,1708,2,5247730
Kasargod,Suburbs,4196,2,14606462
Kasargod,Near Highway,2546,3,8429257
Kasargod,Town Center,3384,4,9086054
Malappuram,Suburbs,3715,2,12479520
Kollam,Rural Area,1473,2,5371768
Wayanad,Rural Area,4628,1,16000652
Kottayam,Kanjikuzhy,1010,5,4873069
Kasargod,Residential Area,1015,2,2753931
Alappuzha,Near Highway,1700,2,4779901
Alappuzha,Town Center,1282,2,4095310
Kozhikode,Beach Road,3652,6,17040480
Kasargod,Rural Area,3965,3,14194762
Kottayam,Ettumanoor,1250,2,4885542
Ernakulam,Palarivattom,4071,1,21721594
Ernakulam,Palarivattom,3767,4,21253791
Kannur,Near Highway,4704,4,15052316
Kozhikode,Beach Road,1227,2,4832966
Kozhikode,Nadakkavu,4369,2,18855508
Malappuram,Near Highway,2522,1,6661574
Kannur,Suburbs,4703,4,17566823
Trivandrum,Technopark,713,3,3503186
Wayanad,Near Highway,3136,5,10884872
Pathanamthitta,Town Center,3600,2,11571892
Kollam,Suburbs,4670,3,16215027
Malappuram,Suburbs,3445,1,11215525
Malappuram,Near Highway,3028,3,9030061
Kottayam,Ettumanoor,1133,5,5649005
Kottayam,Pala,2842,6,12928269
Trivandrum,Kazhakkoottam,4250,2,19917330
Kottayam,Ettumanoor,735,2,2604668
Kannur,Suburbs,2681,4,10106194
Pathanamthitta,Rural Area,3561,6,14639410
Kannur,Town Center,1483,6,6149779
Wayanad,Rural Area,4517,2,12319606
Palakkad,Town Center,1276,4,4711610
Kannur,Near Highway,2528,3,8927877
Kollam,Residential Area,3454,2,9254175
Kottayam,Nagampadam,1082,3,4664169
Thrissur,Poonkunnam,3674,6,17640768
Kasargod,Suburbs,3097,5,9883133
Idukki,Suburbs,3712,2,10681681
Malappuram,Town Center,1211,5,4623987
Trivandrum,Vellayambalam,4517,2,18288742
Trivandrum,Kowdiar,4379,5,19330484
Thrissur,Ayyanthole,1407,6,6887462
Thrissur,Poonkunnam,2881,5,12707630
Thrissur,Viyyur,3782,5,17254146
Kottayam,Nagampadam,4725,5,19197080
Pathanamthitta,Town Center,2540,4,8568839
Kannur,Residential Area,4386,6,15049074
Alappuzha,Rural Area,3458,4,11396029
Kannur,Residential Area,1060,4,4603090
Alappuzha,Town Center,3492,2,12147923
Trivandrum,Kowdiar,4530,2,20579862
Kollam,Near Highway,1625,5,6216884
Ernakulam,Kakkanad,3831,4,21981523
Kannur,Rural Area,4071,4,12543368
Kannur,Near Highway,2735,2,9498583
Pathanamthitta,Residential Area,634,3,2811448
Thrissur,Swaraj Round,3616,1,14384363
Kasargod,Near Highway,2322,5,9355999
Thrissur,Viyyur,3211,1,12110859
Kozhikode,Beach Road,2824,4,13764640
Kollam,Rural Area,4778,1,15198642
Alappuzha,Rural Area,1333,3,4701628
Palakkad,Suburbs,1021,4,4312645
Kozhikode,Nadakkavu,1752,6,8639559
Kollam,Town Center,1326,2,4660298
Kasargod,Near Highway,3974,4,14534114
Wayanad,Near Highway,3778,3,12593037
Ernakulam,Edappally,2355,2,11139696
Trivandrum,Pattom,1951,5,10951969
Kannur,Residential Area,2157,1,6610052
Kozhikode,Beach Road,4748,6,22594594
Alappuzha,Residential Area,3244,2,10054486
Wayanad,Residential Area,2122,4,7812440
Kottayam,Ettumanoor,703,4,3863832
Trivandrum,Pattom,3062,3,15771382
Wayanad,Rural Area,1876,1,6365317
Alappuzha,Suburbs,3439,3,12283827
Trivandrum,Technopark,850,2,4258400
Pathanamthitta,Residential Area,1621,6,6179717
Pathanamthitta,Rural Area,2833,6,10713027
Ernakulam,Aluva,3098,6,17110763
Kollam,Suburbs,596,3,2792265
Ernakulam,Kochi,807,4,5052076
Alappuzha,Rural Area,3589,1,8975813
Kollam,Rural Area,4918,2,15031467
Kottayam,Baker Junction,2652,2,10745360
Pathanamthitta,Rural Area,2860,3,9407965
Kannur,Residential Area,4032,1,13886416
Thrissur,Viyyur,3989,4,16116415
Ernakulam,Aluva,3197,6,17238330
Ernakulam,Palarivattom,2619,4,13032068
Malappuram,Town Center,843,5,3446933
Alappuzha,Town Center,2961,2,10168544
Trivandrum,Technopark,2127,2,9143134
Idukki,Rural Area,756,5,3648136
Trivandrum,Pattom,1777,4,8452138
Kasargod,Residential Area,919,5,5142593
Kannur,Town Center,1000,1,3300530
Kannur,Suburbs,3505,3,11519940
Wayanad,Residential Area,3546,2,11099080
Ernakulam,Aluva,2456,5,13830247
Kollam,Town Center,2179,6,7776826
Kasargod,Residential Area,4043,5,13876572
Thrissur,Ayyanthole,752,3,3090879
Trivandrum,Kowdiar,2212,2,11157005
Kottayam,Nagampadam,678,1,2712457
Wayanad,Residential Area,4173,5,14112703
Kollam,Near Highway,4157,3,12898420
Alappuzha,Residential Area,4534,5,13306440
Kottayam,Nagampadam,4558,4,18450881
Wayanad,Town Center,4556,3,13106926
Idukki,Town Center,2645,5,10816225
Kannur,Residential Area,4317,5,13333690
Kannur,Near Highway,2693,1,8047459
Malappuram,Residential Area,4128,4,11906078
Pathanamthitta,Suburbs,958,1,2706532
Kasargod,Near Highway,2437,6,7960204
Malappuram,Rural Area,1389,6,6220249
Thrissur,Olarikkara,1421,4,7624583
Thrissur,Olarikkara,2874,4,11198769
Malappuram,Rural Area,1868,3,5256009
Kozhikode,Mananchira,1622,6,8450516
Wayanad,Near Highway,617,2,2051649
Kollam,Town Center,1187,1,4213941
Alappuzha,Town Center,1588,2,4489413
Kannur,Residential Area,1750,5,5923130
Ernakulam,Kakkanad,2676,4,12941158
Ernakulam,Palarivattom,4902,2,23314105
Palakkad,Near Highway,2260,2,7162202
Ernakulam,Kochi,3651,4,17711759
Wayanad,Rural Area,4824,4,14185305
Trivandrum,Vellayambalam,2487,2,10895903
Trivandrum,Vellayambalam,4639,6,21872886
Kollam,Residential Area,1761,1,5301022
Palakkad,Suburbs,2868,4,10694990
Wayanad,Suburbs,1230,3,4343530
Palakkad,Residential Area,854,4,4072147
Kozhikode,Mavoor Road,3309,4,13060489
Thrissur,Olarikkara,1393,5,6610981
Pathanamthitta,Rural Area,1028,5,4229512
Kasargod,Near Highway,4859,3,16874723
Pathanamthitta,Suburbs,4886,4,14152935
Kozhikode,West Hill,2870,1,10909286
Wayanad,Town Center,4966,3,17867247
Trivandrum,Kazhakkoottam,4183,6,22457056
Kannur,Residential Area,3379,3,9078422
Ernakulam,Aluva,4417,4,24952532
Alappuzha,Residential Area,2180,3,6797658
Kottayam,Kanjikuzhy,615,5,3205143
Thrissur,Swaraj Round,3017,3,11539286
Alappuzha,Residential Area,1647,6,6575360
Thrissur,Swaraj Round,3019,1,13049890
Trivandrum,Technopark,1773,1,8172253
Malappuram,Near Highway,2159,5,8226971
Idukki,Suburbs,1051,1,3153266
Alappuzha,Suburbs,3992,6,12231871
Malappuram,Town Center,4622,3,13905569
Alappuzha,Town Center,3069,5,10095627
Malappuram,Near Highway,3635,4,12982587
Idukki,Near Highway,564,4,2544071
Thrissur,Viyyur,1400,6,6671518
Pathanamthitta,Near Highway,3476,4,10412949
Idukki,Suburbs,830,5,4230282
Wayanad,Near Highway,3008,5,10283754
Idukki,Residential Area,4530,5,12868845
Alappuzha,Suburbs,2018,3,6298130
Ernakulam,Kakkanad,1589,5,9876954
Idukki,Suburbs,3342,3,9931203
Kozhikode,Mavoor Road,2904,5,13303237
Kannur,Rural Area,3653,4,12305013
Kozhikode,Mavoor Road,3572,5,14905699
Kasargod,Town Center,4412,1,13032747
Idukki,Near Highway,4996,4,14760397
Idukki,Near Highway,1307,3,5205001
Ernakulam,Edappally,4816,6,27503104
Wayanad,Near Highway,2518,6,8283251
Kozhikode,Nadakkavu,4635,2,17224782
Pathanamthitta,Town Center,1330,4,4735574
Wayanad,Suburbs,2544,3,8246285
Kasargod,Rural Area,5000,3,15209826
Pathanamthitta,Rural Area,830,2,2493431
Kozhikode,Mananchira,1473,6,7389897
Kasargod,Town Center,4746,5,17411304
Trivandrum,Kazhakkoottam,619,3,3380988
Kottayam,Pala,3751,2,12876849
Kozhikode,Mavoor Road,1807,4,8284074
Pathanamthitta,Suburbs,2148,1,7372428
Alappuzha,Suburbs,4570,6,13685296
Kollam,Town Center,1468,6,6365228
Kollam,Residential Area,3275,2,10132435
Wayanad,Residential Area,2355,4,7852307
Thrissur,Ayyanthole,1029,6,5631878
Thrissur,Swaraj Round,2385,4,11044256
Kozhikode,Mavoor Road,4022,4,15967009
Kollam,Town Center,3865,6,13765533
Kannur,Rural Area,1269,1,3080206
Thrissur,Olarikkara,1738,2,8044216
Malappuram,Near Highway,2754,1,7749198
Trivandrum,Kazhakkoottam,1253,3,5817847
Kozhikode,Mananchira,2238,4,10893733
Pathanamthitta,Suburbs,3502,5,11523397
Pathanamthitta,Near Highway,4582,1,15573558
Malappuram,Near Highway,3995,6,16168224
Pathanamthitta,Town Center,670,2,2099178
Pathanamthitta,Near Highway,3505,5,9677722
Pathanamthitta,Suburbs,2928,6,10441151
Alappuzha,Town Center,1598,4,5852291
